frame,body_id,x,y,vx,vy,mass
17,3,3.35734,1.1821,1.98435,1.02249,1
17,4,6.17648,1.36043,0.964999,2.00428,1
17,5,1.52412,18.4855,3.3652,103.439,1
18,0,1.38192,-16.3502,2.01143,-96.4978,1
18,1,1.38313,2.92009,2.02938,-0.871281,1
18,2,1.39388,6.23738,1.64637,0.90143,1
18,3,3.37718,1.19234,1.9844,1.02383,1
18,4,6.18611,1.38047,0.96321,2.00448,1
18,5,1.55778,19.5199,3.36521,103.439,1
19,0,1.40204,-17.3151,2.01145,-96.4976,1
19,1,1.40344,2.91138,2.03084,-0.871424,1
19,2,1.41034,6.24638,1.64664,0.900089,1
19,3,3.39702,1.20259,1.98444,1.02516,1
19,4,6.19573,1.40052,0.961411,2.00467,1
19,5,1.59143,20.5543,3.36522,103.439,1
20,0,1.42215,-18.2801,2.01146,-96.4975,1
20,1,1.42376,2.90266,2.03233,-0.87158,1
20,2,1.42681,6.25537,1.64692,0.89875,1
20,3,3.41687,1.21286,1.98447,1.02651,1
20,4,6.20532,1.42057,0.959602,2.00485,1
20,5,1.62508,21.5887,3.36523,103.439,1
21,0,1.44227,-19.2451,2.01146,-96.4974,1
21,1,1.4441,2.89395,2.03382,-0.87175,1
21,2,1.44328,6.26434,1.6472,0.897416,1
21,3,3.43671,1.22313,1.9845,1.02787,1
21,4,6.2149,1.44062,0.957782,2.00502,1
21,5,1.65873,22.6231,3.36523,103.439,1
22,0,1.46238,-20.2101,2.01147,-96.4974,1
22,1,1.46445,2.88523,2.03534,-0.871931,1
22,2,1.45976,6.2733,1.64747,0.896087,1
22,3,3.45656,1.23343,1.98452,1.02923,1
22,4,6.22446,1.46067,0.955952,2.00519,1
22,5,1.69239,23.6574,3.36524,103.439,1
23,0,1.48249,-21.175,2.01148,-96.4973,1
23,1,1.48482,2.87651,2.03688,-0.872125,1
23,2,1.47624,6.28225,1.64775,0.894763,1
23,3,3.4764,1.24373,1.98454,1.03061,1
23,4,6.234,1.48072,0.95411,2.00536,1
23,5,1.72604,24.6918,3.36524,103.439,1
24,0,1.50261,-22.14,2.01148,-96.4972,1
24,1,1.50521,2.86778,2.03843,-0.87233,1
24,2,1.49272,6.29119,1.64804,0.893446,1
24,3,3.49625,1.25405,1.98454,1.03199,1
24,4,6.24353,1.50078,0.952256,2.00552,1
24,5,1.75969,25.7262,3.36525,103.439,1
25,0,1.52272,-23.105,2.01149,-96.4971,1
25,1,1.52561,2.85906,2.04001,-0.872546,1
25,2,1.5092,6.30011,1.64832,0.892134,1
25,3,3.5161,1.26439,1.98454,1.03338,1
25,4,6.25303,1.52084,0.950391,2.00567,1
25,5,1.79334,26.7606,3.36525,103.438,1
26,0,1.54284,-24.07,2.01149,-96.4971,1
26,1,1.54602,2.85033,2.0416,-0.872773,1
26,2,1.52569,6.30902,1.64861,0.89083,1
26,3,3.53594,1.27473,1.98453,1.03478,1
26,4,6.26251,1.54089,0.948514,2.00581,1
26,5,1.827,27.795,3.36525,103.438,1
27,0,1.56295,-25.0349,2.0115,-96.497,1
27,1,1.56646,2.8416,2.04322,-0.87301,1
27,2,1.54218,6.31791,1.64889,0.889531,1
27,3,3.55579,1.2851,1.98451,1.03619,1
27,4,6.27198,1.56095,0.946625,2.00595,1
27,5,1.86065,28.8294,3.36526,103.438,1
28,0,1.58307,-25.9999,2.0115,-96.497,1
28,1,1.5869,2.83287,2.04485,-0.873257,1
28,2,1.55867,6.32679,1.64918,0.88824,1
28,3,3.57563,1.29547,1.98448,1.0376,1
28,4,6.28143,1.58101,0.944723,2.00608,1
28,5,1.8943,29.8638,3.36526,103.438,1
29,0,1.60318,-26.9649,2.0115,-96.4969,1
29,1,1.60737,2.82413,2.04651,-0.873513,1
29,2,1.57516,6.33566,1.64947,0.886955,1
29,3,3.59548,1.30586,1.98445,1.03903,1
29,4,6.29086,1.60108,0.942809,2.00621,1
29,5,1.92795,30.8981,3.36526,103.438,1
30,0,1.6233,-27.9298,2.01151,-96.4969,1
30,1,1.62785,2.81539,2.04818,-0.873779,1
30,2,1.59166,6.34452,1.64977,0.885678,1
30,3,3.61532,1.31627,1.9844,1.04046,1
30,4,6.30027,1.62114,0.940882,2.00633,1
30,5,1.96161,31.9325,3.36526,103.438,1
